repository_name,month,clones,unique_cloners
authentication,2024-07,42,39
authentication,2024-08,117,67
authentication,2024-09,112,54
authentication,2024-10,90,46
authentication,2024-11,74,44
authentication,2024-12,80,52
authentication,2025-01,97,53
